tic;x;y;z;angle;momx;momy;shield;health;ammo;sector_x;sector_y
5608;263;-176;0;26965;1;-6;0;95;200;1;0
5643;260;-146;0;31008;-1;1;0;95;200;1;0
5678;308;-99;0;3445;5;3;0;95;200;1;0
5713;437;39;0;6785;3;6;0;95;200;1;0
5748;458;23;0;8367;0;3;0;95;200;1;0
5783;578;206;-8;35930;6;3;0;95;200;2;0
5818;592;277;-8;27668;-1;0;0;88;200;2;1
5853;515;124;-8;21516;-6;-6;0;88;200;2;0
5888;414;-56;0;28195;0;-8;0;88;200;1;0
5923;400;-136;0;15891;-1;-1;0;88;200;1;0
5973;411;-79;0;8684;0;0;0;88;199;1;0
6055;413;-80;0;9211;0;-1;0;78;195;1;0
6102;422;-42;0;7980;1;5;0;78;194;1;0
6137;429;-27;0;7980;-1;-6;0;78;194;1;0
6172;434;-6;0;7805;0;0;0;78;192;1;0
6287;431;-9;0;6223;-1;-1;0;71;188;1;0
6322;444;9;0;6223;0;0;0;70;187;1;0
6517;446;10;0;10090;-1;2;0;66;177;1;0
6552;445;230;-8;1828;4;5;0;66;177;1;0
6587;561;312;-8;30270;0;0;0;66;177;2;1
6649;537;305;-8;20426;-3;-1;0;66;177;2;1
6684;508;295;-8;20074;-3;-1;0;66;177;2;1
6719;424;257;-24;26578;-1;-4;0;66;177;1;1
6754;413;166;-8;35543;-1;-1;0;66;177;1;0
6875;459;206;-8;4289;4;4;0;66;177;1;0
6910;682;340;-8;34664;7;-1;0;66;177;2;1
6945;815;404;-8;8332;0;5;0;66;177;3;1
6980;833;482;-16;1652;1;1;0;66;177;3;1
7015;814;479;-24;35367;5;0;0;66;177;3;1
7050;943;512;-8;9387;-1;1;0;66;177;3;2
7085;932;738;-8;11145;-1;7;0;66;177;3;2
7120;832;931;-8;16945;-7;2;0;66;177;3;3
7155;614;924;-8;18176;-8;-1;0;66;177;2;3
7190;431;916;-8;18000;-1;-1;0;66;175;1;3
7225;433;912;-8;16770;0;-1;0;54;173;1;3
7300;346;912;-8;17473;-8;0;0;54;170;1;3
7335;66;914;-8;17473;-9;0;0;54;169;0;3
7370;-27;918;-8;16770;-1;0;0;54;167;0;3
7405;-117;943;-8;12727;-1;0;0;54;166;0;3
7475;-106;938;-8;16945;1;-1;0;40;163;0;3
7510;-44;927;-8;18176;0;-1;0;40;161;0;3
7545;14;928;-8;18176;0;0;0;40;159;0;3
7603;-66;926;-8;17297;-8;0;0;40;157;0;3
173;1061;-3605;0;6438;-1;-2;0;100;50;4;-14
266;1052;-3623;0;6438;-2;-3;0;100;46;4;-14
301;1041;-3646;0;7141;-1;-1;0;100;46;4;-14
363;931;-3551;0;18040;-8;1;0;100;46;3;-14
400;720;-3527;0;18040;1;0;0;101;46;2;-14
435;927;-3526;0;17161;3;0;0;101;46;3;-14
470;837;-3404;0;11711;-5;6;0;101;46;3;-13
505;641;-3200;-8;18391;-8;3;0;101;46;2;-12
540;535;-3205;-8;24192;-4;-5;0;101;46;2;-12
575;421;-3439;-8;25774;-2;-6;1;101;46;1;-13
610;418;-3394;-8;17512;0;0;1;101;46;1;-13
645;361;-3305;-8;8899;-3;6;1;101;46;1;-13
680;336;-3065;-8;11887;-1;5;1;101;46;1;-12
715;268;-3039;-8;19446;-7;-2;1;101;46;1;-12
750;92;-3082;-8;23840;-1;0;1;102;46;0;-12
